"Applicant_Income","Gender","Married","Education","Self_Employed","Credit_History","Loan_Status","Semiurban","Rural","Family_I_D"
3617,1,0,0,0,1,1,1,0,7234
3667,0,1,0,0,1,1,1,0,0
4547,0,0,0,0,1,1,1,0,0
4467,1,1,1,0,0,1,0,1,0
3095,1,1,1,0,1,1,0,1,9285
3459,1,1,0,1,1,1,1,0,0
3500,1,1,0,0,1,1,1,0,0
3173,1,1,1,0,1,1,1,0,9519
4000,0,0,0,0,1,1,1,0,0
3988,1,1,0,0,1,1,0,0,3988
3254,1,0,0,0,1,1,0,0,0
3416,0,1,0,0,0,1,1,0,0
3775,1,1,0,0,1,1,1,0,0
3229,1,0,0,0,1,1,0,0,0
3083,1,1,1,0,1,1,0,0,10502
2718,1,0,0,0,1,1,1,0,0
2083,1,1,0,0,1,1,1,0,0
2679,1,0,1,0,1,1,1,0,3981
2045,1,1,0,0,1,1,0,1,7328
3173,1,1,0,0,1,1,0,0,0
6250,1,1,0,0,1,1,1,0,0
2526,1,0,0,0,1,1,0,1,0
2526,1,0,0,0,1,1,0,1,0
3315,1,1,0,0,1,1,1,0,3315
3625,0,1,0,0,1,1,1,0,0
2500,1,0,0,0,1,1,1,0,0
4817,1,1,0,0,1,1,0,0,0
2917,0,0,0,0,1,1,1,0,0
2058,1,1,0,0,0,1,0,0,0
2583,1,1,1,0,1,1,0,0,0
3762,0,0,0,0,1,1,0,1,0
4666,0,1,0,0,1,1,0,0,4666
4133,1,0,0,0,1,1,1,0,0
4895,1,0,0,0,1,1,1,0,0
5316,1,0,0,0,1,1,0,0,0
2799,1,1,0,0,1,1,1,0,0
7200,0,0,0,0,1,1,0,1,0
2083,1,1,0,0,1,1,1,0,0
4124,0,0,0,0,1,1,1,0,0
3273,1,1,1,0,1,1,0,0,10186
2137,0,0,0,0,0,1,1,0,0
2500,1,1,0,0,1,1,1,0,0
3158,1,0,0,0,1,1,0,1,0
3246,1,1,0,0,1,1,1,0,0
3988,1,1,0,0,1,1,0,0,3988
4166,0,0,0,0,1,1,1,0,0
2031,0,1,0,0,1,1,1,0,7326
2882,1,1,0,0,1,1,1,0,4725
4000,1,0,0,0,1,1,0,1,0
5166,1,0,0,1,1,1,1,0,0
4133,1,0,0,0,1,1,1,0,0
2708,1,1,0,0,1,1,1,0,7750
3858,1,0,0,0,1,1,1,0,0
3315,1,1,0,0,1,1,1,0,3315
3103,1,1,0,0,1,1,0,0,0
1958,1,1,1,0,0,1,0,0,6828
3103,1,1,0,0,1,1,0,0,0
1809,1,1,0,0,1,1,0,0,0
3166,0,1,0,0,1,1,1,0,0
3033,1,1,0,0,1,1,0,0,0
4750,1,1,0,0,1,1,0,0,0
4885,1,0,1,0,1,1,0,1,0
2383,1,1,0,0,0,1,0,1,0
3667,0,1,0,0,1,1,1,0,0
1875,1,1,1,1,1,1,1,0,7500
3833,1,0,1,0,1,1,0,1,0
3902,1,0,1,0,1,1,0,1,0
2679,1,0,1,0,1,1,1,0,3981
5166,1,0,0,1,1,1,1,0,0
3846,0,0,0,0,1,1,1,0,0
3625,0,1,0,0,1,1,1,0,0
3273,1,1,1,0,1,1,0,0,10186
3416,0,1,0,0,0,1,1,0,0
2400,1,1,0,0,0,1,0,0,0
4000,1,0,0,0,1,1,0,1,0
2400,1,1,0,0,1,1,1,0,0
2600,1,1,1,0,1,1,1,0,5100
7142,0,1,1,1,1,1,0,1,0
3166,0,1,0,0,1,1,1,0,0
3812,0,0,0,0,1,1,0,1,3812
4408,0,0,1,0,1,1,1,0,0
3273,1,1,1,0,1,1,0,0,10186
3775,1,1,0,0,1,1,1,0,0
2620,1,1,0,0,1,1,1,0,0
2699,1,0,1,0,0,1,1,0,0
2484,0,1,0,0,1,1,1,0,0
4666,0,1,0,0,1,1,0,0,4666
3033,1,1,0,0,1,1,0,0,0
4652,1,1,1,0,1,1,0,1,9304
7167,1,0,0,1,1,1,0,0,0
3273,1,1,1,0,1,1,0,0,10186
4608,0,1,0,0,1,1,1,0,7453
7142,0,1,1,1,1,1,0,1,0
3075,1,1,0,0,1,1,0,1,0
3254,1,0,0,0,1,1,0,0,0
1800,1,0,0,0,1,1,0,0,0
3463,0,0,0,1,0,1,0,0,0
3846,0,0,0,0,1,1,1,0,0
2239,1,1,1,0,1,1,0,0,4763
2058,1,1,0,0,0,1,0,0,0
2583,1,1,1,0,1,1,0,0,0
3497,1,1,0,0,1,1,0,1,0
3620,1,0,1,0,1,1,1,0,0
2698,1,1,0,0,1,1,1,0,0
3463,0,0,0,1,0,1,0,0,0
2958,1,1,0,0,1,1,1,0,0
3052,1,1,0,0,1,1,0,0,4082
3463,0,0,0,1,0,1,0,0,0
3013,1,1,0,0,0,1,0,0,0
2213,0,0,1,0,1,1,0,1,0
3617,1,0,0,0,1,1,1,0,7234
5000,0,0,0,0,1,1,0,1,0
3466,1,1,0,1,1,1,0,1,4676
2400,1,1,0,0,0,1,0,0,0
3814,1,1,1,0,1,1,1,0,0
3833,1,0,1,0,1,1,0,1,0
3399,1,1,1,0,1,1,0,0,5039
2785,1,1,0,0,1,1,0,1,0
2500,1,0,0,0,1,1,1,0,0
2071,1,1,1,0,1,1,1,0,8475
5468,1,1,0,0,1,1,1,0,6500
3086,0,0,0,0,1,1,1,0,0
2330,0,1,0,0,1,1,1,0,0
6000,1,0,0,0,1,1,0,0,0
3500,1,1,1,0,1,1,0,0,4583
2717,1,0,1,0,1,1,0,0,0
3975,1,0,1,0,1,1,0,1,0
2620,1,1,0,0,1,1,1,0,0
3900,1,1,0,0,1,1,1,0,7800
5649,1,1,0,0,1,1,0,0,5649
2935,1,0,0,0,1,1,1,0,0
2708,1,1,0,0,1,1,1,0,7750
2500,1,1,0,0,1,1,0,0,0
4666,0,1,0,0,1,1,0,0,4666
5649,1,1,0,0,1,1,0,0,5649
2167,1,1,1,0,1,1,0,0,0
2137,0,0,0,0,0,1,1,0,0
1625,1,1,0,0,1,1,0,0,3428
4009,1,1,0,0,1,1,1,0,11452
2833,1,0,0,0,1,1,0,1,0
4160,0,0,0,0,1,1,1,0,0
2679,1,0,1,0,1,1,1,0,3981
2895,1,1,0,1,1,1,1,0,2895
3315,1,1,0,0,1,1,1,0,3315
2526,1,0,0,0,1,1,0,1,0
3083,1,1,1,0,1,1,0,0,10502
2071,1,1,1,0,1,1,1,0,8475
2060,1,0,0,0,1,1,1,0,0
4652,1,1,1,0,1,1,0,1,9304
3717,1,1,0,0,1,1,1,0,7434
7200,0,0,0,0,1,1,0,1,0
2717,1,0,1,0,1,1,0,0,0
7200,0,0,0,0,1,1,0,1,0
3459,1,1,0,1,1,1,1,0,0
1800,1,0,0,0,1,1,0,0,0
3166,0,0,0,0,0,1,0,1,0
3083,1,1,1,0,1,1,0,0,10502
3988,1,1,0,0,1,1,0,0,3988
3859,1,1,0,0,1,1,0,1,0
2333,1,1,0,0,1,1,0,0,0
3200,1,1,0,0,1,1,0,0,7800
3229,1,0,0,0,1,1,0,0,0
3775,1,1,0,0,1,1,1,0,0
3748,1,0,1,0,1,1,1,0,0
4354,1,0,0,0,1,1,0,1,8708
3459,1,1,0,1,1,1,1,0,0
3276,1,1,0,0,0,1,1,0,7520
2900,0,0,0,0,1,1,0,1,0
3975,1,0,1,0,1,1,0,1,0
3333,1,0,0,0,1,1,0,0,0
3541,0,0,0,0,0,1,1,0,3541
5649,1,1,0,0,1,1,0,0,5649
3675,1,1,1,0,1,1,1,0,7834
6000,1,0,0,0,1,1,0,0,0
7085,1,0,0,1,1,1,1,0,0
3620,1,0,1,0,1,1,1,0,0
3500,1,1,0,0,1,1,1,0,0
4124,0,0,0,0,1,1,1,0,0
3900,1,1,0,0,1,1,1,0,7800
2058,1,1,0,0,0,1,0,0,0
2785,1,1,0,0,1,1,0,1,0
4608,0,1,0,0,1,1,1,0,7453
2583,1,1,1,0,1,1,0,0,0
4750,1,1,0,0,1,1,0,0,0
4860,1,1,0,0,1,1,1,0,0
3399,1,1,1,0,1,1,0,0,5039
2491,1,1,0,0,1,1,1,0,4545
4583,1,1,0,0,1,0,0,1,6091
1853,1,0,0,0,1,0,0,1,0
3510,0,0,0,0,0,0,0,0,0
4887,1,1,1,0,1,0,0,1,0
7660,1,1,1,0,0,0,0,0,0
2600,1,1,1,0,0,0,1,0,0
1442,1,0,1,0,1,0,0,0,0
3167,1,0,0,0,1,0,0,0,0
4692,1,0,0,1,1,0,0,1,4692
3600,1,0,0,0,1,0,0,0,0
2645,0,1,0,0,0,0,0,0,0
4230,0,0,0,0,1,0,1,0,0
4616,1,1,0,0,1,0,0,0,9232
3366,1,1,0,0,1,0,0,1,0
4166,0,0,0,0,0,0,1,0,0
3200,1,0,1,0,0,0,0,0,0
4300,0,0,0,0,0,0,1,0,0
3750,1,0,0,0,1,0,0,0,0
4583,0,1,0,0,1,0,0,1,0
4200,1,1,1,0,1,0,0,1,11260
6277,1,0,0,0,0,0,0,1,0
2281,1,1,1,0,1,0,0,1,4562
3089,1,1,0,0,0,0,1,0,4369
4583,0,1,0,0,1,0,0,1,0
2237,1,0,0,0,0,0,1,0,0
3522,1,1,1,0,1,0,0,1,10566
4344,1,1,1,1,1,0,1,0,0
2333,1,0,1,0,0,0,0,0,0
1916,1,0,0,0,0,0,0,1,0
2178,1,1,0,1,0,0,0,1,2178
3418,1,0,0,0,1,0,1,0,0
2221,1,1,0,0,0,0,0,0,0
2510,1,1,1,0,1,0,0,0,4493
6050,1,0,0,1,1,0,0,0,0
3427,0,0,0,0,1,0,0,0,6854
6045,1,0,1,0,0,0,0,1,0
2600,0,0,0,1,1,0,1,0,0
4400,1,1,0,0,0,0,1,0,8800
2014,1,1,0,0,1,0,0,0,4939
1800,1,1,1,0,0,0,0,0,0
2400,0,0,0,0,0,0,0,0,0
4333,0,1,0,0,1,0,0,0,0
2378,0,0,0,0,1,0,0,1,0
5500,0,1,0,1,0,0,0,1,0
3875,1,1,0,0,1,0,0,0,3875
3000,1,1,1,0,0,0,0,0,0
4723,0,0,0,0,1,0,1,0,4723
6216,1,0,1,0,1,0,0,1,0
2500,1,0,0,0,1,0,1,0,0
3062,1,0,0,0,0,0,0,0,5049
3069,1,0,0,0,1,0,0,0,0
4566,1,1,0,0,1,0,0,0,9132
3180,0,0,0,0,0,0,0,0,0
1500,0,0,0,0,0,0,1,0,0
2889,1,1,1,0,0,0,0,0,5778
2755,1,0,1,0,1,0,0,1,0
3867,0,0,1,1,1,0,1,0,3867
4606,0,0,1,0,1,0,0,1,4606
6500,1,0,0,0,0,0,0,1,0
3340,1,1,0,0,0,0,0,1,10100
2309,1,1,1,0,0,0,0,1,7128
3948,1,1,0,0,0,0,0,1,0
4166,1,0,0,0,0,0,1,0,0
4333,1,1,0,0,1,0,0,0,0
2653,1,1,1,0,0,0,0,1,4153
3547,1,0,0,0,0,0,0,1,7094
2435,1,0,0,0,1,0,0,0,0
3597,1,1,0,0,0,0,0,1,0
4050,1,1,1,0,0,0,0,1,9352
3598,1,0,1,0,1,0,0,1,0
2130,1,1,0,0,1,0,1,0,0
3400,0,0,1,0,1,0,0,1,0
3588,1,0,0,0,0,0,0,1,7176
2917,1,1,1,0,1,0,0,1,0
2138,0,0,0,0,0,0,1,0,0
3358,1,0,1,0,1,0,1,0,0
5000,0,0,0,0,0,0,1,0,0
3593,1,1,0,0,0,0,0,1,0
2378,0,0,0,0,1,0,0,0,0
3166,1,1,0,0,0,0,0,0,0
1836,1,0,0,0,1,0,0,0,0
1880,1,1,0,0,0,0,0,1,1880
2787,1,1,0,0,0,0,0,1,4704
2726,1,1,0,1,0,0,1,0,5452
4583,0,0,0,1,0,0,1,0,0
3783.72761148121,1,1,0,0,0,0,0,1,5473.74454182875
3063.66058437154,1,1,0,0,0,0,0,1,4917.65714394394
1207.21529676788,1,0,0,0,1,0,0,1,0
2209.06925005931,1,0,0,0,1,0,0,1,0
3096.50936001539,0,0,0,0,0,0,0,0,4660.07643143367
3146.39379256638,0,0,0,0,0,0,0,0,0
4024.29004772217,1,1,0,0,1,0,0,1,0
4292.95970740356,1,1,1,0,1,0,0,1,1039.91243853606
5472.73309628479,1,0,1,0,0,0,0,0,0
7244.52878647018,1,1,1,0,0,0,0,0,0
2721.86321296962,1,1,0,0,0,0,1,0,1088.79422794329
4019.48498392757,1,0,0,0,0,0,1,0,0
1471.31914034998,1,0,0,0,1,0,0,0,0
2502.05216269405,1,0,0,0,1,0,0,0,0
2505.44384211488,1,0,0,0,1,0,0,0,0
2893.49529886059,1,0,0,0,1,0,0,0,0
4654.02535601333,1,0,0,0,0,0,0,1,4777.44294897001
4338.26844276907,1,0,0,0,0,0,0,1,5434.06393054035
3742.62466484215,1,0,0,0,1,0,0,0,0
3400.11611040984,1,0,0,0,1,0,0,0,0
4114.0254786741,0,1,0,0,0,0,0,0,0
2643.3942967339,0,0,0,0,0,0,0,0,0
4266.11202962464,0,0,0,0,0,0,1,0,0
4259.55660137348,0,0,0,0,0,0,1,0,0
3098.55288354866,1,1,0,0,1,0,0,0,6728.38721332606
4578.97770123929,1,1,0,0,1,0,0,0,9157.95540247858
3562.71079741465,1,1,0,0,1,0,0,1,0
3488.07446892327,1,1,0,0,0,0,0,1,0
2950.93263888173,0,0,0,0,0,0,1,0,0
3893.12977006938,0,0,0,0,0,0,1,0,0
3217.09225512575,1,0,1,0,0,0,0,0,0
4090.63554611988,1,0,1,0,0,0,0,0,0
4568.65356980544,0,0,0,0,0,0,1,0,0
4216.61743101617,0,0,0,0,0,0,1,0,0
3415.50636993372,1,0,0,0,1,0,0,0,0
3244.97797821835,1,0,0,0,1,0,0,0,0
2552.864157103,1,1,0,0,1,0,0,0,2148.12672071159
1632.63659732975,1,1,0,0,1,0,0,0,4594.11810626369
2755.05161951366,0,0,0,0,1,0,0,1,0
4435.1479852742,0,1,0,0,1,0,0,1,0
4865.05729172914,1,1,1,0,1,0,0,1,359.643224352039
3211.60031532519,1,1,1,0,1,0,0,1,2585.50237767864
6162.84063838422,1,0,0,0,0,0,0,1,0
5991.94460809394,1,0,0,0,0,0,0,1,0
2402.2005541455,1,1,1,0,1,0,0,1,3692.63376098778
2930.42673317972,1,1,1,0,1,0,0,1,7703.94851411041
2788.12472868874,1,1,0,0,0,0,1,0,1680.81173750735
3054.20765592321,1,1,0,0,0,0,1,0,4472.80195216299
2688.87334543816,0,0,0,0,1,0,0,1,0
4085.37451992091,0,1,0,0,1,0,0,1,0
2313.79071614705,0,0,0,0,0,0,1,0,0
2027.99192972132,0,0,0,0,0,0,1,0,0
3910.75153531088,1,1,1,0,1,0,0,1,10963.9256128403
4146.30345763173,1,1,1,0,1,0,0,1,11205.0362825906
3721.40369663015,1,0,1,0,1,0,1,0,0
3455.06408850616,1,0,1,0,1,0,1,0,0
1550.7907780672,1,0,1,0,0,0,0,0,0
2074.99523935281,1,0,1,0,0,0,0,0,0
3472.68586466834,1,0,0,0,0,0,0,1,6681.08717994019
1910.36482353555,1,0,0,0,0,0,0,1,0
2783.04697278561,1,1,0,0,0,0,0,1,1249.32325107325
1942.84402625263,1,1,0,0,0,0,0,1,1942.84402625263
3775.72357955389,0,0,0,0,1,0,1,0,0
2984.22936467594,1,0,0,0,1,0,1,0,0
3939.09813876031,1,1,0,0,0,0,1,0,11289.8203638103
3109.03049656539,1,1,0,0,0,0,0,1,0
2466.52885759436,1,1,0,0,0,0,0,0,0
2813.71737618605,1,1,0,0,0,0,0,0,0
1836.35143041611,1,1,1,0,0,0,0,0,230.037995576859
2936.13505253196,1,1,0,0,1,0,0,0,5451.9050398618
4850.42479051044,1,0,0,0,1,0,0,0,0
3919.40331789665,1,0,0,0,1,0,0,0,0
3617.5041758921,0,0,0,0,1,0,0,0,5412.81277973019
3088.58480649092,0,0,0,0,1,0,0,0,4642.84867844498
6212.76466980018,1,0,0,0,0,0,0,1,0
6155.14051358029,1,0,0,0,0,0,0,1,0
2557.55484564137,1,1,0,0,1,0,0,0,6754.93678499036
2763.702757922,1,1,1,0,0,0,1,0,1038.89099010732
3555.51546017639,0,0,0,0,1,0,1,0,0
4264.9726384806,0,0,0,1,0,0,1,0,0
4154.79596601054,1,1,0,0,1,0,0,0,8471.06651886366
2640.85814854689,1,1,0,0,1,0,0,0,5973.24367091153
2218.93847797764,1,1,0,0,0,0,0,0,0
2513.25537863793,1,1,1,0,0,0,0,0,3784.37977756653
2493.03044551751,0,0,0,0,0,0,0,0,709.532808788354
2506.89587888774,0,0,0,0,0,0,0,0,0
3572.81291104108,0,0,0,0,1,0,0,0,0
4333,0,1,0,0,1,0,0,0,0
4478.86554337293,0,0,0,0,1,0,0,1,0
2427.1691567949,0,0,0,0,1,0,0,1,0
4968.67497570533,0,1,0,1,0,0,0,1,348.352168246172
4942.45034779818,0,1,0,0,0,0,0,1,0
3884.59602079727,1,1,0,0,1,0,0,0,3948.00474867038
4205.25778313028,1,1,0,0,1,0,0,0,1080.78840692178
2772.09731563926,1,1,1,0,0,0,0,0,0
2639.89168042527,1,0,1,0,0,0,0,0,0
3422.71736845444,0,0,0,0,1,0,1,0,17.0728974791709
4635.49449325493,0,0,0,0,1,0,1,0,3884.68659562478
5909.55445891619,0,0,1,0,1,0,0,1,0
3228.07618508814,1,0,1,0,1,0,0,1,0
2369.08581298753,1,0,0,0,0,0,1,0,0
2677.15564346639,1,0,0,0,1,0,1,0,0
2917.48833574448,0,0,0,0,0,0,0,0,3946.82569059497
3435.26243112236,1,0,0,0,0,0,0,0,1546.02227744088
2667.74565463886,1,0,0,0,1,0,0,0,0
3130.78190882737,1,0,0,0,1,0,0,0,0
4094.61371186352,1,1,0,0,1,0,0,0,5545.78043888067
3219.10952517763,0,0,0,0,0,0,0,0,0
2882.49841621844,0,0,0,0,0,0,0,0,0
2489.947217796,0,0,0,0,0,0,1,0,0
1626.32852149988,0,0,0,0,0,0,1,0,0
2671.26657278417,1,1,1,0,0,0,0,0,5039.77452777745
2938.47643901431,1,1,1,0,0,0,0,0,3202.550769147
3547.47489978909,1,0,1,0,1,0,0,1,0
2953.21687289048,0,0,1,0,1,0,0,1,0
3894.31098162942,0,0,0,0,1,0,1,0,3894.31098162942
3931.65833741217,0,0,0,0,1,0,1,0,3178.20167831169
5050.08185559558,0,0,1,0,1,0,0,1,3335.53973486135
3780.19600096485,0,0,1,0,1,0,0,1,2551.08199915942
4972.14789231494,1,0,0,0,0,0,0,1,0
4566.3034883216,1,0,0,0,0,0,0,1,4765.18068949319
3009.74079966545,1,1,0,0,0,0,0,1,8240.59546113014
3525.97931073071,1,1,0,0,0,0,0,1,2791.08545377385
2798.94042504556,1,1,0,0,0,0,0,1,8540.32099246886
2790.56674563698,1,1,0,0,0,0,0,1,8516.18270420283
3791.5339565305,1,1,0,0,0,0,0,1,0
3611.19875996676,1,1,0,0,0,0,0,1,0
4166,0,0,0,0,0,0,1,0,0
3629.54427405726,1,0,0,0,0,0,1,0,0
2978.64199198107,1,1,1,0,0,0,0,0,5574.44009294012
2769.880678799,1,1,1,0,0,0,0,0,10047.4291532785
4333,0,1,0,0,1,0,0,0,0
4041.98744886974,1,1,0,0,1,0,0,0,2462.16951010865
2327.62503417954,1,1,1,0,0,0,0,1,4510.73752962518
3453.36824429268,1,1,1,0,0,0,0,1,7131.60737442924
3043.29749950278,1,0,0,0,0,0,0,1,4903.15662873862
2272.91072352533,1,0,0,0,0,0,0,1,1552.37564235972
2549.76317803934,1,0,0,0,1,0,0,0,0
1658.7113987389,1,0,0,0,1,0,0,0,0
3544.25426739664,1,1,0,0,0,0,0,1,2072.88676768076
3000.20292455843,1,1,0,0,0,0,0,1,3465.84375663847
3423.39464098215,1,1,0,0,0,0,0,1,10012.1419838667
2669.78935109358,1,1,1,0,0,0,0,1,7588.88197405636
3432.67761161295,1,0,1,0,1,0,0,1,0
4921.93934643595,1,0,1,0,1,0,0,1,0
2394.19505705312,1,0,0,0,1,0,1,0,0
2281.09815523867,1,0,0,0,1,0,1,0,0
2661.4537450755,0,0,0,0,1,0,0,1,0
4446.64819495846,0,0,1,0,1,0,0,1,3997.39766664896
3515.71285955422,1,0,0,0,0,0,0,1,8028.28870428819
3557.86488160561,1,0,0,0,0,0,0,1,7115.72976321122
3384.67297196272,1,0,1,0,1,0,0,1,0
2516.36374728289,1,1,1,0,1,0,0,1,2873.74620266585
3102.09109053016,0,0,0,0,0,0,1,0,0
2841.3481200235,0,0,0,0,0,0,1,0,0
2927.03046747809,1,0,0,0,1,0,1,0,0
2868.00736661348,1,0,0,0,1,0,1,0,0
4633.96098597767,0,0,0,0,0,0,1,0,0
3203.63778888714,0,0,0,0,0,0,1,0,0
3366.48150994861,1,1,0,0,0,0,0,1,9042.83300205134
3596.95498080528,1,1,0,0,0,0,0,1,0
2840.99554176815,1,1,0,0,0,0,0,1,5848.74071911722
2700.36763467779,0,0,0,0,1,0,0,0,0
3056.81499999249,0,0,0,0,0,0,0,0,0
3136.98897534981,1,1,0,0,0,0,0,0,0
2949.46650537685,1,1,0,0,0,0,0,0,0
2100.78800178762,1,0,0,0,1,0,0,0,0
1945.50383567228,1,0,0,0,1,0,0,0,0
2006.28547131782,1,1,0,0,0,0,0,1,1741.40298536047
3363.47967058141,1,1,0,0,0,0,0,1,531.382117653266
2370.09456797899,1,1,0,0,0,0,0,1,3405.93942665122
2876.71847200394,1,1,0,0,0,0,0,1,5579.44462013245
3186.51072533522,1,1,0,0,0,0,1,0,6373.02145067044
4666.3782549398,0,0,0,0,0,0,1,0,0
4530.1440176093,0,0,0,0,0,0,1,0,0
