"Dependents","Applicant_Income","Coapplicant_Income","Loan_Amount","Loan_Amount_Term","Gender_Male","Married_Yes","Education_Not Graduate","Self_Employed_Yes","Credit_History_1","Loan_Status_Y","Property_Area_Urban","Property_Area_Semiurban","Property_Area_Rural"
3,3029,0,99,360,1,1,0,0,1,1,1,0,0
0,4166,0,116,360,0,0,0,0,0,0,0,1,0
0,3200,2254,126,180,1,0,1,0,0,0,1,0,0
3,7100,0,125,60,1,1,1,1,1,1,1,0,0
0,4300,0,136,360,0,0,0,0,0,0,0,1,0
2,1875,1875,97,360,1,1,1,1,1,1,0,1,0
0,3500,0,81,300,1,0,0,0,1,1,0,1,0
0,3750,0,113,480,1,0,0,0,1,0,1,0,0
1,1000,3022,110,360,1,1,0,1,1,0,1,0,0
3,3333,2166,130,360,1,1,1,1,0,1,0,1,0
0,3846,0,111,360,0,0,0,0,1,1,0,1,0
1,3988,0,50,240,1,1,0,0,1,1,1,0,0
0,2366,2531,136,360,1,0,0,0,1,1,0,1,0
2,3333,2000,99,360,1,1,1,0,0,1,0,1,0
0,2500,2118,104,360,1,1,0,0,1,1,0,1,0
0,2958,2900,131,360,1,1,0,0,1,1,0,1,0
2,3273,1820,81,360,1,1,1,0,1,1,1,0,0
0,4133,0,122,360,1,0,0,0,1,1,0,1,0
0,3620,0,25,120,1,0,1,0,1,1,0,1,0
0,2484,2302,137,360,0,1,0,0,1,1,0,1,0
0,1977,997,50,360,1,1,0,0,1,1,0,1,0
0,4188,0,115,180,1,1,1,0,1,1,0,1,0
0,1759,3541,131,360,1,1,0,0,1,1,0,1,0
2,4288,3263,133,180,1,1,1,0,1,1,1,0,0
1,3052,1030,100,360,1,1,0,0,1,1,1,0,0
3,2071,754,94,480,1,1,1,0,1,1,0,1,0
0,5316,0,136,360,1,0,0,0,1,1,1,0,0
1,2214,1398,85,360,1,1,0,0,0,1,1,0,0
0,4166,0,44,360,0,0,0,0,1,1,0,1,0
0,2137,8980,137,360,0,0,0,0,0,1,0,1,0
2,2957,0,81,360,1,1,0,0,1,1,0,1,0
0,3692,0,93,360,0,0,0,0,0,1,0,0,1
0,2014,1929,74,360,1,0,0,0,1,1,1,0,0
0,2718,0,70,360,1,0,0,0,1,1,0,1,0
0,3459,0,25,120,1,1,0,1,1,1,0,1,0
0,4895,0,102,360,1,0,0,0,1,1,0,1,0
0,4583,0,84,360,0,1,0,0,1,0,0,0,1
2,3316,3500,88,360,1,1,0,1,1,1,1,0,0
2,4200,1430,129,360,1,1,1,0,1,0,0,0,1
0,2698,2034,122,360,1,1,0,0,1,1,0,1,0
0,2330,4486,100,360,0,1,0,0,1,1,0,1,0
1,1538,1425,30,360,1,1,0,0,1,1,1,0,0
0,4860,830,125,360,1,1,0,0,1,1,0,1,0
0,6277,0,118,360,1,0,0,0,0,0,0,0,1
2,2281,0,113,360,1,1,1,0,1,0,0,0,1
0,3254,0,50,360,1,0,0,0,1,1,1,0,0
0,1863,1041,98,360,1,1,1,0,1,1,0,1,0
1,3089,1280,121,360,1,1,0,0,0,0,0,1,0
0,9323,0,75,180,1,1,0,0,1,1,1,0,0
0,4583,0,112,360,0,1,0,0,1,0,0,0,1
0,2439,3333,129,360,1,1,0,0,1,1,0,0,1
0,2237,0,63,480,1,0,0,0,0,0,0,1,0
3,3522,0,81,180,1,1,1,0,1,0,0,0,1
0,4344,736,87,360,1,1,1,1,1,0,0,1,0
0,3497,1964,116,360,1,1,0,0,1,1,0,0,1
2,2045,1619,101,360,1,1,0,0,1,1,0,0,1
1,3750,0,116,360,1,1,0,0,1,1,0,1,0
0,2333,1451,102,480,1,0,1,0,0,0,1,0,0
0,1916,5063,67,360,1,0,0,0,0,0,0,0,1
0,4600,0,73,180,1,1,0,0,1,1,0,1,0
0,3625,0,108,360,0,1,0,0,1,1,0,1,0
1,2178,0,66,300,1,1,0,1,0,0,0,0,1
0,2383,2138,58,360,1,1,0,0,0,1,0,0,1
0,4885,0,48,360,1,0,1,0,1,1,0,0,1
0,3858,0,76,360,1,0,0,0,1,1,0,1,0
0,4191,0,120,360,1,0,0,0,1,1,0,0,1
0,3416,2816,113,360,0,1,0,0,0,1,0,1,0
1,2600,2500,90,360,1,1,1,0,1,1,0,1,0
1,3500,1083,135,360,1,1,1,0,1,1,1,0,0
2,3917,0,124,360,1,1,1,0,1,1,0,1,0
0,4408,0,120,360,0,0,1,0,1,1,0,1,0
0,3244,0,80,360,0,0,0,0,1,1,1,0,0
0,3975,2531,55,360,1,0,1,0,1,1,0,0,1
0,2479,0,59,360,1,0,0,0,1,1,1,0,0
0,3418,0,127,360,1,0,0,0,1,0,0,1,0
3,3430,1250,128,360,1,1,0,0,0,0,0,1,0
3,5703,0,130,360,1,1,1,1,1,1,0,0,1
0,3173,3021,137,360,1,1,0,0,1,1,1,0,0
3,3850,983,100,360,1,1,1,0,1,1,0,1,0
0,150,1800,135,360,1,1,0,0,1,0,0,0,1
0,3727,1775,131,360,1,1,0,0,1,1,0,1,0
2,4283,2383,127,360,0,1,0,0,0,1,0,1,0
0,2221,0,60,360,1,1,0,0,0,0,1,0,0
2,4009,1717,116,360,1,1,0,0,1,1,0,1,0
0,2971,2791,144,360,1,0,0,0,1,1,0,1,0
0,6250,0,128,360,1,1,0,0,1,1,0,1,0
1,2491,2054,104,360,1,1,0,0,1,1,0,1,0
1,3155,1779,140,360,1,1,0,0,1,1,0,1,0
0,3463,0,122,360,0,0,0,1,0,1,1,0,0
1,3812,0,112,360,0,0,0,0,1,1,0,0,1
1,3315,0,96,360,1,1,0,0,1,1,0,1,0
2,5819,5000,120,360,1,1,0,0,1,1,0,0,1
1,2510,1983,140,180,1,1,1,0,1,0,1,0,0
2,6250,1300,108,360,1,1,0,1,1,1,0,0,1
0,3406,4417,123,360,1,1,1,0,1,1,0,1,0
0,6050,4333,120,180,1,0,0,1,1,0,1,0,0
2,9703,0,112,360,1,1,0,0,1,1,1,0,0
1,6608,0,137,180,1,1,1,0,1,1,1,0,0
1,2882,1843,123,480,1,1,0,0,1,1,0,1,0
0,1809,1868,90,360,1,1,0,0,1,1,1,0,0
2,3427,0,138,360,0,0,0,0,1,0,1,0,0
0,2583,2167,104,360,1,0,1,1,1,1,0,0,1
0,6045,0,115,360,1,0,1,0,0,0,0,0,1
3,5250,0,94,360,1,1,0,0,1,0,1,0,0
3,4931,0,128,360,1,1,1,0,0,0,0,1,0
0,2060,2209,134,360,1,0,0,0,1,1,0,1,0
0,7200,0,120,360,0,0,0,0,1,1,0,0,1
0,5166,0,128,360,1,0,0,1,1,1,0,1,0
2,4708,1387,150,360,1,1,0,0,1,1,0,1,0
1,2876,1560,90,360,0,0,0,0,1,1,1,0,0
0,3237,0,30,360,0,0,0,0,1,1,1,0,0
0,2833,1857,126,360,1,0,0,0,1,1,0,0,1
0,2620,2223,150,360,1,1,0,0,1,1,0,1,0
2,3900,0,90,360,1,1,0,0,1,1,0,1,0
1,2750,1842,115,360,1,1,0,0,1,1,0,1,0
0,3103,1300,80,360,1,1,0,0,1,1,1,0,0
0,4100,0,124,360,0,1,1,0,0,1,0,0,1
0,3927,800,112,360,1,1,0,0,1,1,0,1,0
0,1811,1666,54,360,0,0,0,0,1,1,1,0,0
0,3158,3053,89,360,1,0,0,0,1,1,0,0,1
0,2600,1717,99,300,0,0,0,1,1,0,0,1,0
0,3704,2000,120,360,1,1,0,0,1,1,0,0,1
0,4124,0,115,360,0,0,0,0,1,1,0,1,0
0,3075,2416,139,360,1,1,0,0,1,1,0,0,1
2,4400,0,127,360,1,1,0,0,0,0,0,1,0
2,3153,1560,134,360,1,1,0,0,1,1,1,0,0
1,4666,0,135,360,0,1,0,0,1,1,1,0,0
1,2014,2925,113,360,1,1,0,0,1,0,1,0,0
0,1800,2934,93,360,1,1,1,0,0,0,1,0,0
0,5000,0,132,360,0,0,0,0,1,1,0,0,1
1,1625,1803,96,360,1,1,0,0,1,1,1,0,0
0,4000,2500,140,360,1,0,0,0,1,1,0,0,1
0,3762,1666,135,360,0,0,0,0,1,1,0,0,1
0,2400,1863,104,360,0,0,0,0,0,0,1,0,0
0,2917,0,84,360,0,0,0,0,1,1,0,1,0
0,2927,2405,111,360,1,0,1,0,1,1,0,1,0
0,2507,0,56,360,0,0,0,0,1,1,0,0,1
2,5746,0,144,84,1,1,0,1,0,1,0,0,1
1,3399,1640,111,180,1,1,1,0,1,1,1,0,0
2,3717,0,120,360,1,1,0,0,1,1,0,1,0
0,2058,2134,88,360,1,1,0,0,0,1,1,0,0
1,3541,0,112,360,0,0,0,0,0,1,0,1,0
0,2400,2167,115,360,1,1,0,0,1,1,0,1,0
3,4342,189,124,360,1,1,0,0,1,1,0,1,0
0,3166,2985,132,360,0,0,0,0,0,1,0,0,1
0,4917,0,130,360,1,0,0,0,0,1,0,0,1
0,4333,2451,110,360,0,1,0,0,1,0,1,0,0
0,2500,0,67,360,0,0,0,0,1,1,1,0,0
1,4384,1793,117,360,1,0,0,0,1,1,1,0,0
0,2935,0,98,360,1,0,0,0,1,1,0,1,0
0,4160,0,71,360,0,0,0,0,1,1,0,1,0
0,2378,0,46,360,0,0,0,0,1,0,0,0,1
3,3173,0,74,360,1,1,1,0,1,1,0,1,0
2,3083,2168,126,360,1,1,1,0,1,1,1,0,0
3,2666,2083,95,360,1,1,0,0,1,1,0,0,1
0,5500,0,105,360,0,1,0,1,0,0,0,0,1
0,2423,505,130,360,0,1,0,0,1,1,0,1,0
1,3875,0,67,360,1,1,0,0,1,0,1,0,0
0,3000,1666,100,480,1,1,1,0,0,0,1,0,0
1,4723,0,81,360,0,0,0,0,1,0,0,1,0
0,4750,2333,130,360,1,1,0,0,1,1,1,0,0
0,3013,3033,95,300,1,1,0,0,0,1,1,0,0
0,6822,0,141,360,1,0,0,1,1,1,0,0,1
0,6216,0,133,360,1,0,1,0,1,0,0,0,1
0,2500,0,96,480,1,0,0,0,1,0,0,1,0
1,3062,1987,111,180,1,0,0,0,0,0,1,0,0
0,4817,923,120,180,1,1,0,0,1,1,1,0,0
3,8750,4996,130,360,1,1,0,0,1,1,0,0,1
0,4310,0,130,360,1,1,0,0,0,1,0,1,0
0,3069,0,71,480,1,0,0,0,1,0,1,0,0
2,5391,0,130,360,1,1,0,0,1,1,1,0,0
0,7167,0,128,360,1,0,0,1,1,1,1,0,0
2,4566,0,100,360,1,1,0,0,1,0,1,0,0
0,2346,1600,132,360,1,0,1,0,1,1,0,1,0
0,2333,2417,136,360,1,1,0,0,1,1,1,0,0
0,5488,0,125,360,1,1,0,0,1,1,0,0,1
0,2583,2115,120,360,1,1,0,0,0,1,1,0,0
2,1993,1625,113,180,1,1,1,0,1,1,0,1,0
2,3100,1400,113,360,1,1,0,0,1,1,1,0,0
2,3276,484,135,360,1,1,0,0,0,1,0,1,0
0,3180,0,71,360,0,0,0,0,0,0,1,0,0
0,3033,1459,95,360,1,1,0,0,1,1,1,0,0
0,3902,1666,109,360,1,0,1,0,1,1,0,0,1
0,1500,1800,103,360,0,0,0,0,0,0,0,1,0
2,2889,0,45,180,1,1,1,0,0,0,1,0,0
0,2755,0,65,300,1,0,1,0,1,0,0,0,1
0,2500,20000,103,360,1,0,0,0,1,1,0,1,0
0,1963,0,53,360,0,0,1,0,1,1,0,1,0
0,4547,0,115,360,0,0,0,0,1,1,0,1,0
0,2167,2400,115,360,1,1,1,0,1,1,1,0,0
0,2213,0,66,360,0,0,1,0,1,1,0,0,1
1,3867,0,62,360,0,0,1,1,1,0,0,1,0
0,2253,2033,110,360,1,1,1,0,1,1,0,0,1
0,2995,0,60,360,0,0,0,0,1,1,1,0,0
0,1025,2773,112,360,1,1,0,0,1,1,0,0,1
0,3246,1417,138,360,1,1,0,0,1,1,0,1,0
0,5829,0,138,360,1,1,0,0,1,1,0,0,1
0,1820,1719,100,360,1,1,0,0,1,1,1,0,0
0,2666,4300,121,360,1,1,0,0,1,1,0,0,1
1,4606,0,81,360,0,0,1,0,1,0,0,0,1
2,5935,0,133,360,1,1,0,0,1,1,0,1,0
0,2717,0,60,180,1,0,1,0,1,1,1,0,0
1,8624,0,150,360,0,0,0,1,1,1,0,1,0
0,6500,0,105,360,1,0,0,0,0,0,0,0,1
0,2425,2340,143,360,1,1,0,0,1,1,0,1,0
0,3750,0,100,360,1,0,0,0,1,1,1,0,0
0,1926,1851,50,360,1,0,0,0,1,1,0,1,0
0,7142,0,138,360,0,1,1,1,1,1,0,0,1
3,4707,1993,148,360,1,0,1,0,1,1,0,1,0
1,3466,1210,130,360,1,1,0,1,1,1,0,0,1
2,4652,0,110,360,1,1,1,0,1,1,0,0,1
2,3340,1710,150,360,1,1,0,0,0,0,0,0,1
2,2309,1255,125,360,1,1,1,0,0,0,0,0,1
2,1958,1456,60,300,1,1,1,0,0,1,1,0,0
0,3948,1733,149,360,1,1,0,0,0,0,0,0,1
0,2483,2466,90,180,1,1,0,0,0,1,0,0,1
0,7085,0,84,360,1,0,0,1,1,1,0,1,0
2,3859,0,96,360,1,1,0,0,1,1,0,1,0
0,4301,0,118,360,1,1,0,0,1,1,1,0,0
2,4354,0,136,360,1,0,0,0,1,1,0,0,1
3,7740,0,128,180,1,1,0,0,1,1,1,0,0
0,4166,0,98,360,1,0,0,0,0,0,0,1,0
0,6000,0,140,360,1,0,0,0,1,1,0,0,1
3,2947,1664,70,180,1,1,1,0,0,0,1,0,0
0,4333,2451,110,360,1,1,0,0,1,0,1,0,0
1,2653,1500,113,180,1,1,1,0,0,0,0,0,1
3,4691,0,100,360,1,1,0,0,1,1,0,1,0
0,2500,0,93,360,0,0,0,1,0,1,1,0,0
3,3095,0,113,360,1,1,1,0,1,1,0,0,1
0,2083,3150,128,360,1,1,0,0,1,1,0,1,0
1,1958,2436,131,360,1,1,1,0,1,1,0,0,1
2,3547,0,80,360,1,0,0,0,0,0,0,0,1
0,2435,0,75,360,1,0,0,0,1,0,1,0,0
0,2699,2785,96,360,1,0,1,0,0,1,0,1,0
0,3691,0,110,360,1,0,1,0,1,1,0,0,1
0,3597,2157,119,360,1,1,0,0,0,0,0,0,1
1,3326,913,105,84,0,1,0,0,1,1,0,1,0
0,2600,1700,107,360,1,1,1,0,1,1,0,0,1
0,4625,2857,111,12,1,1,0,0,0,1,1,0,0
1,2895,0,95,360,1,1,0,1,1,1,0,1,0
0,645,3683,113,480,0,0,0,0,1,1,0,0,1
0,3159,0,100,360,0,0,0,0,1,1,0,1,0
1,4050,5302,138,360,1,1,1,0,0,0,0,0,1
0,3814,1483,124,300,1,1,1,0,1,1,0,1,0
0,3598,1287,100,360,1,0,1,0,1,0,0,0,1
2,3283,2035,148,360,1,1,0,0,1,1,1,0,0
0,2130,6666,70,180,1,1,0,0,1,0,0,1,0
3,3466,3428,150,360,1,1,0,0,1,1,0,0,1
2,2031,1632,113,480,0,1,0,0,1,1,0,1,0
0,3400,0,95,360,0,0,1,0,1,0,0,0,1
2,2192,1742,45,360,1,1,1,0,1,1,0,1,0
0,2500,0,55,360,1,0,0,0,1,1,0,1,0
3,5677,1424,100,360,1,1,0,1,1,1,0,0,1
0,3775,0,110,360,1,1,0,0,1,1,0,1,0
1,2679,1302,94,360,1,0,1,0,1,1,0,1,0
0,6783,0,130,360,1,0,1,0,1,1,0,1,0
3,4281,0,100,360,1,1,0,0,1,1,1,0,0
2,3588,0,110,360,1,0,0,0,0,0,0,0,1
2,3617,0,107,360,1,0,0,0,1,1,0,1,0
0,2917,536,66,360,1,1,1,0,1,0,0,0,1
1,4608,2845,140,180,0,1,0,0,1,1,0,1,0
0,2138,0,99,360,0,0,0,0,0,0,0,1,0
1,2239,2524,128,360,1,1,1,0,1,1,1,0,0
0,3017,663,102,360,0,1,1,0,0,1,0,1,0
0,3358,0,80,36,1,0,1,0,1,0,0,1,0
0,2526,1783,145,360,1,0,0,0,1,1,0,0,1
0,5000,0,103,360,0,0,0,0,0,0,0,1,0
0,2785,2016,110,360,1,1,0,0,1,1,0,0,1
0,3593,4266,132,180,1,1,0,0,0,0,0,0,1
1,5468,1032,26,360,1,1,0,0,1,1,0,1,0
0,2667,1625,84,360,0,0,0,0,0,1,1,0,0
2,3675,242,108,360,1,1,1,0,1,1,0,1,0
0,5800,0,132,360,1,0,1,1,1,1,0,1,0
0,4467,0,120,360,1,1,1,0,0,1,0,0,1
0,3333,0,70,360,1,0,0,0,1,1,1,0,0
3,3400,2500,123,360,1,1,0,0,0,0,0,0,1
0,2378,0,9,360,0,0,0,0,1,0,1,0,0
0,3166,2064,104,360,1,1,0,0,0,0,1,0,0
3,6406,0,150,360,1,1,0,0,1,0,0,1,0
2,3159,461,108,84,1,1,0,0,1,1,1,0,0
0,3229,2739,110,360,1,0,0,0,1,1,1,0,0
1,1782,2232,107,360,1,1,0,0,1,1,0,0,1
0,1836,33837,90,360,1,0,0,0,1,0,1,0,0
0,3166,0,36,360,0,1,0,0,1,1,0,1,0
1,1880,0,61,360,1,1,0,0,0,0,0,0,1
1,2787,1917,146,360,1,1,0,0,0,0,0,0,1
0,2297,1522,104,360,1,1,0,0,1,1,1,0,0
0,2165,0,70,360,0,0,1,0,1,1,0,1,0
2,2726,0,106,360,1,1,0,1,0,0,0,1,0
0,3000,3416,56,180,1,1,0,0,1,1,0,1,0
0,3859,3300,142,180,1,1,0,0,1,1,0,0,1
0,3833,0,110,360,1,0,1,0,1,1,0,0,1
3,5703,0,128,360,1,1,0,0,1,1,1,0,0
0,3232,1950,108,360,1,1,0,0,1,1,0,0,1
0,2900,0,71,360,0,0,0,0,1,1,0,0,1
3,4106,0,40,180,1,1,0,0,1,1,0,0,1
0,4583,0,133,360,0,0,0,1,0,0,0,1,0
